palavra,video_url,filename,classe_gramatical,assunto,configuracao_mao,CM
A,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/aSm_Prog001.mp4,A.mp4,SUBSTANTIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg01.jpg,cg01
ABACATE,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abacateSm_Prog001.mp4,ABACATE.mp4,SUBSTANTIVO,FRUTA,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg53a.jpg,cg53a
ABACAXI,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abacaxiSm_Prog001.mp4,ABACAXI.mp4,SUBSTANTIVO,FRUTA,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg47.jpg,cg47
ABAFAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abafarSm_Prog001.mp4,ABAFAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg07.jpg,cg07
ABAIXO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abaixoSm_Prog001.mp4,ABAIXO.mp4,ADV.,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg62.jpg,cg62
ABAIXO-ASSINADO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abaixo-assinadoSm_Prog001.mp4,ABAIXO-ASSINADO.mp4,LOC. SUBST.,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg20.jpg,cg20
ABAJUR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abajurSm_Prog001.mp4,ABAJUR.mp4,SUBSTANTIVO,CASA,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg51b.jpg,cg51b
ABANAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abanarSm_Prog001.mp4,ABANAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg04.jpg,cg04
ABANDONAR1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abandonar1Sm_Prog001.mp4,ABANDONAR1.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg33.jpg,cg33
ABANDONAR2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abandonar2Sm_Prog001.mp4,ABANDONAR2.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg64.jpg,cg64
ABARROTADO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abarrotadoSm_Prog001.mp4,ABARROTADO.mp4,ADJETIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg07.jpg,cg07
ABASTADO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abastadoSm_Prog001.mp4,ABASTADO.mp4,ADJETIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg46b.jpg,cg46b
ABATIDO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abatidoSm_Prog001.mp4,ABATIDO.mp4,ADJETIVO,SENTIMENTOS,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg53a.jpg,cg53a
ABATIMENTO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abatimentoSm_Prog001.mp4,ABATIMENTO.mp4,SUBSTANTIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg14.jpg,cg14
ABDICAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abdicarSm_Prog001.mp4,ABDICAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg35a.jpg,cg35a
