palavra,classe_gramatical,assunto,CM
A,SUBSTANTIVO,NENHUM,cg01
ABACATE,SUBSTANTIVO,FRUTA,cg53a
ABACAXI,SUBSTANTIVO,FRUTA,cg47
ABAFAR,VERBO,NENHUM,cg07
ABAIXO,ADV.,NENHUM,cg62
ABAIXO-ASSINADO,LOC. SUBST.,NENHUM,cg20
ABAJUR,SUBSTANTIVO,CASA,cg51b
ABANAR,VERBO,NENHUM,cg04
ABANDONAR1,VERBO,NENHUM,cg33
ABANDONAR2,VERBO,NENHUM,cg64
ABARROTADO,ADJETIVO,NENHUM,cg07
ABASTADO,ADJETIVO,NENHUM,cg46b
ABATIDO,ADJETIVO,SENTIMENTOS,cg53a
ABATIMENTO,SUBSTANTIVO,NENHUM,cg14
ABDICAR,VERBO,NENHUM,cg35a
ABDOMEN,SUBSTANTIVO,CORPO,cg63
ABELHA,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg20
ABENCOAR1,VERBO,NENHUM,cg42
ABENCOAR2,VERBO,NENHUM,cg64
ABERTO1,ADJETIVO,NENHUM,cg61
ABERTO2,ADJETIVO,NENHUM,cg53a
ABERTURA,SUBSTANTIVO,NENHUM,cg63
ABISMAR,ADJETIVO,NENHUM,cg63
ABOBORA1,SUBSTANTIVO,LEGUME/VERDURA,cg51a
ABOBORA2,SUBSTANTIVO,LEGUME/VERDURA,cg45
ABOBRINHA,SUBSTANTIVO,LEGUME/VERDURA,cg45
ABOCANHAR,VERBO,NENHUM,cg47
ABOLICAO,SUBSTANTIVO,NENHUM,cg02
ABONAR,VERBO,NENHUM,cg04
ABONO,SUBSTANTIVO,NENHUM,cg04
ABORRECER,VERBO,NENHUM,cg46a
ABORRECIDO,ADJETIVO,SENTIMENTOS,cg46a
ABORTAR1,VERBO,NENHUM,cg02
ABORTAR2,VERBO,NENHUM,cg63
ABORTO,SUBSTANTIVO,HIGIENE/SAÚDE,cg02
ABOTOAR,VERBO,NENHUM,cg05
ABRACADABRA,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg57
ABRACAR,VERBO,NENHUM,cg02
ABRACO,SUBSTANTIVO,NENHUM,cg02
ABRACO2,SUBSTANTIVO,NENHUM,cg62
ABREVIAR,VERBO,NENHUM,cg12
ABRIDOR DE LATA1,SUBSTANTIVO,APARELHO/MÁQUINA,cg05
ABRIDOR DE LATA2,SUBSTANTIVO,APARELHO/MÁQUINA,cg10
ABRIGAR,VERBO,NENHUM,cg53a
ABRIGO,SUBSTANTIVO,NENHUM,cg53a
ABRIL,SUBSTANTIVO,ANO SIDERAL,cg05
ABRIR1,VERBO,NENHUM,cg14
ABRIR2,VERBO,NENHUM,cg02
ABRIR3,VERBO,NENHUM,cg61
ABRIR4,VERBO,NENHUM,cg46a
ABRIR5,VERBO,NENHUM,cg08a
ABSOLVER,VERBO,NENHUM,cg64
ABSORVENTE HIGIENICO,SUBSTANTIVO,HIGIENE/SAÚDE,cg37a
ABSORVER1,VERBO,NENHUM,cg57
ABSORVER2,VERBO,NENHUM,cg57
ABSTER,VERBO,NENHUM,cg64
ABSURDO,ADJETIVO,NENHUM,cg58
ABUSADO,ADJETIVO,NENHUM,cg57
ABUSAR,VERBO,NENHUM,cg63
ACABAR1,VERBO,NENHUM,cg64
ACABAR2,VERBO,NENHUM,cg62
ACABAR3,VERBO,NENHUM,cg62
ACABAR4,VERBO,NENHUM,cg53a
ACAI,SUBSTANTIVO,FRUTA,cg01
ACALENTAR,VERBO,NENHUM,cg62
ACALMAR1,VERBO,NENHUM,cg63
ACALMAR2,VERBO,NENHUM,cg63
ACAMPAMENTO,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg37a
ACAMPAR,VERBO,NENHUM,cg37a
ACANHADO,ADJETIVO,NENHUM,cg31
ACARICIAR,VERBO,NENHUM,cg53a
ACASALAR,VERBO,NENHUM,cg32
ACATAR,VERBO,NENHUM,cg53a
ACAUTELAR,VERBO,NENHUM,cg14
ACEITAR,VERBO,NENHUM,cg47
ACELERAR1,VERBO,NENHUM,cg62
ACELERAR2,VERBO,NENHUM,cg51a
ACENAR,VERBO,NENHUM,cg64
ACENDER FAROL,VERBO,NENHUM,cg57
ACENDER ISQUEIRO,VERBO,NENHUM,cg07
ACENDER LUZ,VERBO,NENHUM,cg57
ACENDER VELA,VERBO,NENHUM,cg57
ACENTO1,SUBSTANTIVO,NENHUM,cg14
ACENTO2,SUBSTANTIVO,NENHUM,cg14
ACERCAR,VERBO,NENHUM,cg47
ACERTAR1,VERBO,NENHUM,cg14
ACERTAR2,VERBO,NENHUM,cg08a
ACESO,ADJETIVO,NENHUM,cg57
ACESSO1,SUBSTANTIVO,NENHUM,cg62
ACESSO2,SUBSTANTIVO,NENHUM,cg62
ACHAR1,VERBO,NENHUM,cg14
ACHAR2,VERBO,NENHUM,cg35a
ACIDENTE1,SUBSTANTIVO,NENHUM,cg40
ACIDENTE2,SUBSTANTIVO,HIGIENE/SAÚDE,cg02
ACIMA,ADV.,NENHUM,cg53a
ACLIVE,SUBSTANTIVO,NENHUM,cg62
ACNE,SUBSTANTIVO,HIGIENE/SAÚDE,cg14
ACO,SUBSTANTIVO,MATÉRIA/SUBSTÂNCIA,cg01
ACOITAR,SUBSTANTIVO,NENHUM,cg05
ACOITE,SUBSTANTIVO,NENHUM,cg05
ACOMODADO,ADJETIVO,NENHUM,cg07
ACOMODAR,VERBO,NENHUM,cg07
ACOMPANHADO,ADJETIVO,NENHUM,cg07
ACOMPANHAR1,VERBO,NENHUM,cg07
ACOMPANHAR2,VERBO,NENHUM,cg62
ACONCHEGAR,VERBO,NENHUM,cg04
ACONSELHAR,VERBO,NENHUM,cg50
ACONTECER1,VERBO,NENHUM,cg11
ACONTECER2,VERBO,NENHUM,cg20
ACONTECER3,VERBO,NENHUM,cg57
ACORDADO,ADJETIVO,NENHUM,cg14
ACORDAR1,VERBO,NENHUM,cg08a
ACORDAR2,VERBO,NENHUM,cg02
ACORDAR3,VERBO,NENHUM,cg14
ACORDEAO,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg46b
ACORDO,SUBSTANTIVO,NENHUM,cg14
ACORRENTAR,VERBO,NENHUM,cg33
ACOSTUMADO,ADJETIVO,NENHUM,cg63
ACOSTUMAR,VERBO,NENHUM,cg63
ACOUGUE,SUBSTANTIVO,NENHUM,cg13
ACRE,SUBSTANTIVO,PAÍS/ESTADO/CIDADE,cg64
ACREDITAR,VERBO,NENHUM,cg63
ACRESCENTAR,VERBO,NENHUM,cg05
ACROBATA1,SUBSTANTIVO,NENHUM,cg24
ACROBATA2,SUBSTANTIVO,NENHUM,cg24
ACUADO,ADJETIVO,NENHUM,cg12
ACUAR,SUBSTANTIVO,NENHUM,cg32
ACUCAR,SUBSTANTIVO,MATÉRIA/SUBSTÂNCIA,cg63
ACUMULAR,VERBO,NENHUM,cg57
ACUPUNTURA,SUBSTANTIVO,HIGIENE/SAÚDE,cg14
ACUSAR,VERBO,NENHUM,cg58
ADERNAR,VERBO,NENHUM,cg63
ADESIVO,SUBSTANTIVO,MATÉRIA/SUBSTÂNCIA,cg24
ADEUS1,INTERJ.,NENHUM,cg64
ADEUS2,SUBSTANTIVO,NENHUM,cg53a
ADIANTADO,ADJETIVO,NENHUM,cg08a
ADIAR,VERBO,NENHUM,cg44
ADICIONAR1,VERBO,NENHUM,cg05
ADICIONAR2,VERBO,NENHUM,cg14
ADIVINHAR,VERBO,NENHUM,cg14
ADJETIVOS,SUBSTANTIVO,NENHUM,cg01
ADJUNTO,ADJETIVO,NENHUM,cg07
ADMINISTRACAO,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg05
ADMINISTRAR,VERBO,NENHUM,cg14
ADMIRADO,ADJETIVO,NENHUM,cg58
ADMIRAR,VERBO,NENHUM,cg58
ADMISSAO,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg32
ADMITIR1,VERBO,NENHUM,cg24
ADMITIR2,VERBO,NENHUM,cg57
ADOCANTE,SUBSTANTIVO,MATÉRIA/SUBSTÂNCIA,cg20
ADOCAR,VERBO,NENHUM,cg63
ADOECER,VERBO,NENHUM,cg35b
ADOIDAR,VERBO,NENHUM,cg14
ADOLESCENTE1,ADJETIVO,NENHUM,cg52
ADOLESCENTE2,ADJETIVO,NENHUM,cg57
ADORAR1,VERBO,NENHUM,cg51a
ADORAR2,VERBO,NENHUM,cg62
ADORMECER,VERBO,NENHUM,cg08a
ADOTAR,VERBO,NENHUM,cg29a
ADOTIVO,ADJETIVO,FAMÍLIA,cg29a
ADULAR,VERBO,NENHUM,cg63
ADULTERIO,SUBSTANTIVO,FAMÍLIA,cg37a
ADULTO,ADJ./SUBST.,NENHUM,cg63
ADVENTISTA,ADJETIVO,NENHUM,cg01
ADVERTIR1,VERBO,NENHUM,cg08a
ADVERTIR2,VERBO,NENHUM,cg14
ADVOGADO,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg14
AEROBARCO1,SUBSTANTIVO,TRANPORTE/VEÍCULO,cg40
AEROBARCO2,SUBSTANTIVO,TRANPORTE/VEÍCULO,cg37a
AEROMOCA,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg07
AERONAUTICA,SUBSTANTIVO,NENHUM,cg40
AEROPORTO,SUBSTANTIVO,TRANPORTE/VEÍCULO,cg62
AEROSSOL,SUBSTANTIVO,MATÉRIA/SUBSTÂNCIA,cg15
AEROSTATO,SUBSTANTIVO,APARELHO/MÁQUINA,cg47
AFAMADO,ADJETIVO,NENHUM,cg52
AFASTADO1,ADJETIVO,NENHUM,cg63
AFASTADO2,ADJETIVO,NENHUM,cg63
AFASTAR1,VERBO,NENHUM,cg63
AFASTAR2,VERBO,NENHUM,cg63
AFEICAO,SUBSTANTIVO,SENTIMENTOS,cg53a
AFERIR1,VERBO,NENHUM,cg14
AFERIR2,VERBO,NENHUM,cg20
AFETO,SUBSTANTIVO,SENTIMENTOS,cg52
AFIADO,ADJETIVO,NENHUM,cg21
AFIAR,VERBO,NENHUM,cg21
AFILHADO,SUBSTANTIVO,FAMÍLIA,cg44
AFINIDADE,SUBSTANTIVO,SENTIMENTOS,cg14
AFIVELAR,VERBO,NENHUM,cg07
AFIXAR1,VERBO,NENHUM,cg07
AFLITO,ADJETIVO,NENHUM,cg64
AFOCINHAR,VERBO,NENHUM,cg46a
AFOGAR1,VERBO,NENHUM,cg61
AFOGAR2,VERBO,NENHUM,cg64
AFROUXAR,VERBO,NENHUM,cg18b
AFUNDAR,VERBO,NENHUM,cg14
AGACHAR,VERBO,NENHUM,cg15
AGARRAR,VERBO,NENHUM,cg47
AGASALHAR,VERBO,NENHUM,cg01
AGENDAR,VERBO,NENHUM,cg44
AGITADO,ADJETIVO,NENHUM,cg02
AGORA,ADV.,NENHUM,cg63
AGOSTO1,SUBSTANTIVO,ANO SIDERAL,cg01
AGOSTO2,SUBSTANTIVO,ANO SIDERAL,cg63
AGRADAR,VERBO,NENHUM,cg63
AGRADECER,VERBO,NENHUM,cg63
AGREDIR,VERBO,NENHUM,cg02
AGRESSIVO,ADJETIVO,NENHUM,cg57
AGRIAO,SUBSTANTIVO,LEGUME/VERDURA,cg19
AGRICULTURA,SUBSTANTIVO,NENHUM,cg15
AGRUPAR,VERBO,NENHUM,cg47
AGUARDAR,VERBO,NENHUM,cg01
AGUARDENTE,SUBSTANTIVO,ALIMENTO/BEBIDA,cg37a
AGULHA1,SUBSTANTIVO,NENHUM,cg55
AGULHA2,SUBSTANTIVO,HIGIENE/SAÚDE,cg17
AGUENTAR1,VERBO,NENHUM,cg54
AGUENTAR2,VERBO,NENHUM,cg05
AGUENTAR3,VERBO,NENHUM,cg24
AIDS,SUBSTANTIVO,HIGIENE/SAÚDE,cg01
AINDA,ADV.,NENHUM,cg44
AINDA NAO,VERBO,NENHUM,cg01
AIPIM,SUBSTANTIVO,LEGUME/VERDURA,cg01
AJOELHAR,VERBO,NENHUM,cg31
AJUDAR1,VERBO,NENHUM,cg07
AJUDAR2,SUBSTANTIVO,NENHUM,cg62
AJUNTAR,VERBO,NENHUM,cg47
ALAGOAS,SUBSTANTIVO,PAÍS/ESTADO/CIDADE,cg19
ALARANJADO,ADJETIVO,COR/FORMA,cg51a
ALARME,SUBSTANTIVO,APARELHO/MÁQUINA,cg49
ALASTRAR,VERBO,NENHUM,cg64
ALCANCAR1,VERBO,NENHUM,cg10
ALCANCAR2,VERBO,NENHUM,cg47
ALCANCAR3,VERBO,NENHUM,cg12
ALCAPAO,SUBSTANTIVO,NENHUM,cg53b
ALCE,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg64
ALEGRE,ADJETIVO,NENHUM,cg64
ALEGRIA1,SUBSTANTIVO,SENTIMENTOS,cg64
ALEGRIA2,SUBSTANTIVO,SENTIMENTOS,cg63
ALEIJAR,VERBO,NENHUM,cg45
ALELUIA1,INTERJ.,NENHUM,cg07
ALELUIA2,SUBSTANTIVO,NENHUM,cg64
ALEM,ADV.,NENHUM,cg53b
ALEMANHA,SUBSTANTIVO,PAÍS/ESTADO/CIDADE,cg08a
ALEMAO,ADJETIVO,NENHUM,cg08a
ALERGIA1,SUBSTANTIVO,HIGIENE/SAÚDE,cg33
ALERGIA2,SUBSTANTIVO,HIGIENE/SAÚDE,cg46b
ALERTA,ADJETIVO,NENHUM,cg08a
ALERTAR1,VERBO,NENHUM,cg64
ALERTAR2,VERBO,NENHUM,cg14
ALFABETO,SUBSTANTIVO,NENHUM,cg01
ALFACE,SUBSTANTIVO,LEGUME/VERDURA,cg47
ALFAIATE,SUBSTANTIVO,PROFISSÃO/TRABALHO,cg55
ALFINETE,SUBSTANTIVO,NENHUM,cg18a
ALFINETE DE FRALDA,SUBSTANTIVO,NENHUM,cg25
ALGEMAS,SUBSTANTIVO,NENHUM,cg48
ALGODAO,SUBSTANTIVO,PLANTA/FLOR/NATUREZA,cg57
ALGUEM,PRON. INDEFIN.,NENHUM,cg57
ALGUM1,SUBSTANTIVO,NENHUM,cg63
ALGUM2,PRON. INDEFIN.,NENHUM,cg58
ALGUM3,PRON. INDEFIN.,NENHUM,cg14
ALHO,SUBSTANTIVO,LEGUME/VERDURA,cg02
ALI,ADV.,NENHUM,cg14
ALIADO,ADJETIVO,NENHUM,cg33
ALIANCA,SUBSTANTIVO,NENHUM,cg21
ALICATE1,SUBSTANTIVO,HIGIENE/SAÚDE,cg29b
ALICATE2,SUBSTANTIVO,HIGIENE/SAÚDE,cg07
ALIMENTAR1,VERBO,NENHUM,cg53a
ALIMENTO,SUBSTANTIVO,ALIMENTO/BEBIDA,cg53a
ALIQUOTA,SUBSTANTIVO,NUMERAL/DINHEIRO,cg49
ALISAR,VERBO,NENHUM,cg63
ALISTAR1,VERBO,NENHUM,cg32
ALISTAR2,VERBO,NENHUM,cg44
ALIVIADO,ADJETIVO,NENHUM,cg63
ALIVIAR,VERBO,NENHUM,cg20
