palavra,video_url,filename,classe_gramatical,assunto,configuracao_mao,CM
A.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/aSm_Prog001.mp4,A.mp4,SUBSTANTIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg01.jpg,cg01
ABACATE.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abacateSm_Prog001.mp4,ABACATE.mp4,SUBSTANTIVO,FRUTA,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg53a.jpg,cg53a
ABACAXI.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abacaxiSm_Prog001.mp4,ABACAXI.mp4,SUBSTANTIVO,FRUTA,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg47.jpg,cg47
ABAFAR.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abafarSm_Prog001.mp4,ABAFAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg07.jpg,cg07
ABAIXO.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abaixoSm_Prog001.mp4,ABAIXO.mp4,ADV.,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg62.jpg,cg62
ABAIXO-ASSINADO.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abaixo-assinadoSm_Prog001.mp4,ABAIXO-ASSINADO.mp4,LOC. SUBST.,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg20.jpg,cg20
ABAJUR.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abajurSm_Prog001.mp4,ABAJUR.mp4,SUBSTANTIVO,CASA,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg51b.jpg,cg51b
ABANAR.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abanarSm_Prog001.mp4,ABANAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg04.jpg,cg04
ABANDONAR1.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abandonar1Sm_Prog001.mp4,ABANDONAR1.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg33.jpg,cg33
ABANDONAR2.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abandonar2Sm_Prog001.mp4,ABANDONAR2.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg64.jpg,cg64
ABARROTADO.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abarrotadoSm_Prog001.mp4,ABARROTADO.mp4,ADJETIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg07.jpg,cg07
ABASTADO.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abastadoSm_Prog001.mp4,ABASTADO.mp4,ADJETIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg46b.jpg,cg46b
ABATIDO.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abatidoSm_Prog001.mp4,ABATIDO.mp4,ADJETIVO,SENTIMENTOS,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg53a.jpg,cg53a
ABATIMENTO.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abatimentoSm_Prog001.mp4,ABATIMENTO.mp4,SUBSTANTIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg14.jpg,cg14
ABDICAR.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abdicarSm_Prog001.mp4,ABDICAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg35a.jpg,cg35a
ABDOMEN.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abdomenSm_Prog001.mp4,ABDOMEN.mp4,SUBSTANTIVO,CORPO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg63.jpg,cg63
ABELHA.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abelhaSm_Prog001.mp4,ABELHA.mp4,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg20.jpg,cg20
ABENCOAR1.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abencoar1Sm_Prog001.mp4,ABENCOAR1.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg42.jpg,cg42
ABENCOAR2.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abencoar2Sm_Prog001.mp4,ABENCOAR2.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg64.jpg,cg64
ABERTO1.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/aberto1Sm_Prog001.mp4,ABERTO1.mp4,ADJETIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg61.jpg,cg61
ABERTO2.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/aberto2Sm_Prog001.mp4,ABERTO2.mp4,ADJETIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg53a.jpg,cg53a
ABERTURA.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/aberturaSm_Prog001.mp4,ABERTURA.mp4,SUBSTANTIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg63.jpg,cg63
ABISMAR.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abismarSm_Prog001.mp4,ABISMAR.mp4,ADJETIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg63.jpg,cg63
ABOBORA1.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abobora1Sm_Prog001.mp4,ABOBORA1.mp4,SUBSTANTIVO,LEGUME/VERDURA,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg51a.jpg,cg51a
ABOBORA2.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abobora2Sm_Prog001.mp4,ABOBORA2.mp4,SUBSTANTIVO,LEGUME/VERDURA,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg45.jpg,cg45
ABOBRINHA.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abobrinhaSm_Prog001.mp4,ABOBRINHA.mp4,SUBSTANTIVO,LEGUME/VERDURA,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg45.jpg,cg45
ABOCANHAR.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abocanharSm_Prog001.mp4,ABOCANHAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg47.jpg,cg47
ABOLICAO.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abolicaoSm_Prog001.mp4,ABOLICAO.mp4,SUBSTANTIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg02.jpg,cg02
ABONAR.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abonarSm_Prog001.mp4,ABONAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg04.jpg,cg04
ABONO.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abonoSm_Prog001.mp4,ABONO.mp4,SUBSTANTIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg04.jpg,cg04
ABORRECER.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/aborrecerSm_Prog001.mp4,ABORRECER.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg46a.jpg,cg46a
ABORRECIDO.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/aborrecidoSm_Prog001.mp4,ABORRECIDO.mp4,ADJETIVO,SENTIMENTOS,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg46a.jpg,cg46a
ABORTAR1.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abortar1Sm_Prog001.mp4,ABORTAR1.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg02.jpg,cg02
ABORTAR2.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abortar2Sm_Prog001.mp4,ABORTAR2.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg63.jpg,cg63
ABORTO.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abortar1Sm_Prog001.mp4,ABORTO.mp4,SUBSTANTIVO,HIGIENE/SAÚDE,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg02.jpg,cg02
ABOTOAR.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abotoarSm_Prog001.mp4,ABOTOAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg05.jpg,cg05
ABRACADABRA.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abracadabraSm_Prog001.mp4,ABRACADABRA.mp4,SUBSTANTIVO,ESPORTE/DIVERSÃO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg57.jpg,cg57
ABRACAR.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abracarSm_Prog001.mp4,ABRACAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg02.jpg,cg02
ABRACO.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abracoSm_Prog001.mp4,ABRACO.mp4,SUBSTANTIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg02.jpg,cg02
ABRACO2.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abraco2Sm_Prog001.mp4,ABRACO2.mp4,SUBSTANTIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg62.jpg,cg62
ABREVIAR.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abreviarSm_Prog001.mp4,ABREVIAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg12.jpg,cg12
ABRIDOR DE LATA1.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abridor_de_lata1Sm_Prog001.mp4,ABRIDOR DE LATA1.mp4,SUBSTANTIVO,APARELHO/MÁQUINA,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg05.jpg,cg05
ABRIDOR DE LATA2.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abridor_de_lata2Sm_Prog001.mp4,ABRIDOR DE LATA2.mp4,SUBSTANTIVO,APARELHO/MÁQUINA,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg10.jpg,cg10
ABRIGAR.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abrigarSm_Prog001.mp4,ABRIGAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg53a.jpg,cg53a
ABRIGO.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abrigoSm_Prog001.mp4,ABRIGO.mp4,SUBSTANTIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg53a.jpg,cg53a
ABRIL.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abrilSm_Prog001.mp4,ABRIL.mp4,SUBSTANTIVO,ANO SIDERAL,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg05.jpg,cg05
ABRIR1.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abrir1Sm_Prog001.mp4,ABRIR1.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg14.jpg,cg14
ABRIR2.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abrir2Sm_Prog001.mp4,ABRIR2.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg02.jpg,cg02
ABRIR3.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abrir3Sm_Prog001.mp4,ABRIR3.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg61.jpg,cg61
ABRIR4.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abrir4Sm_Prog001.mp4,ABRIR4.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg46a.jpg,cg46a
ABRIR5.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abrir5Sm_Prog001.mp4,ABRIR5.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg08a.jpg,cg08a
ABSOLVER.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/absolverSm_Prog001.mp4,ABSOLVER.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg64.jpg,cg64
ABSORVENTE HIGIENICO.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/absorvente_higienicoSm_Prog001.mp4,ABSORVENTE HIGIENICO.mp4,SUBSTANTIVO,HIGIENE/SAÚDE,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg37a.jpg,cg37a
ABSORVER1.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/absorver1Sm_Prog001.mp4,ABSORVER1.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg57.jpg,cg57
ABSORVER2.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/absorver2Sm_Prog001.mp4,ABSORVER2.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg57.jpg,cg57
ABSTER.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/absterSm_Prog001.mp4,ABSTER.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg64.jpg,cg64
ABSURDO.mp4,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/absurdo1Sm_Prog001.mp4,ABSURDO.mp4,ADJETIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg58.jpg,cg58
