palavra,video_url,filename,classe_gramatical,assunto,configuracao_mao
A,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/aSm_Prog001.mp4,A.mp4,SUBSTANTIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg01.jpg
ABACATE,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abacateSm_Prog001.mp4,ABACATE.mp4,SUBSTANTIVO,FRUTA,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg53a.jpg
ABACAXI,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abacaxiSm_Prog001.mp4,ABACAXI.mp4,SUBSTANTIVO,FRUTA,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg47.jpg
ABAFAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abafarSm_Prog001.mp4,ABAFAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg07.jpg
ABAIXO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abaixoSm_Prog001.mp4,ABAIXO.mp4,ADV.,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg62.jpg
ABAIXO-ASSINADO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abaixo-assinadoSm_Prog001.mp4,ABAIXO-ASSINADO.mp4,LOC. SUBST.,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg20.jpg
ABAJUR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abajurSm_Prog001.mp4,ABAJUR.mp4,SUBSTANTIVO,CASA,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg51b.jpg
ABANAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abanarSm_Prog001.mp4,ABANAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg04.jpg
ABANDONAR1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abandonar1Sm_Prog001.mp4,ABANDONAR1.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg33.jpg
ABANDONAR2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abandonar2Sm_Prog001.mp4,ABANDONAR2.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg64.jpg
ABARROTADO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abarrotadoSm_Prog001.mp4,ABARROTADO.mp4,ADJETIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg07.jpg
ABASTADO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abastadoSm_Prog001.mp4,ABASTADO.mp4,ADJETIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg46b.jpg
ABATIDO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abatidoSm_Prog001.mp4,ABATIDO.mp4,ADJETIVO,SENTIMENTOS,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg53a.jpg
ABATIMENTO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abatimentoSm_Prog001.mp4,ABATIMENTO.mp4,SUBSTANTIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg14.jpg
ABDICAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abdicarSm_Prog001.mp4,ABDICAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg35a.jpg
ABDÔMEN,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abdomenSm_Prog001.mp4,ABDÔMEN.mp4,SUBSTANTIVO,CORPO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg63.jpg
ABELHA,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abelhaSm_Prog001.mp4,ABELHA.mp4,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg20.jpg
ABENÇOAR1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abencoar1Sm_Prog001.mp4,ABENÇOAR1.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg42.jpg
ABENÇOAR2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abencoar2Sm_Prog001.mp4,ABENÇOAR2.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg64.jpg
ABERTO1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/aberto1Sm_Prog001.mp4,ABERTO1.mp4,ADJETIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg61.jpg
ABERTO2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/aberto2Sm_Prog001.mp4,ABERTO2.mp4,ADJETIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg53a.jpg
ABERTURA,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/aberturaSm_Prog001.mp4,ABERTURA.mp4,SUBSTANTIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg63.jpg
ABISMAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abismarSm_Prog001.mp4,ABISMAR.mp4,ADJETIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg63.jpg
ABÓBORA1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abobora1Sm_Prog001.mp4,ABÓBORA1.mp4,SUBSTANTIVO,LEGUME/VERDURA,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg51a.jpg
ABÓBORA2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abobora2Sm_Prog001.mp4,ABÓBORA2.mp4,SUBSTANTIVO,LEGUME/VERDURA,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg45.jpg
ABOBRINHA,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abobrinhaSm_Prog001.mp4,ABOBRINHA.mp4,SUBSTANTIVO,LEGUME/VERDURA,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg45.jpg
ABOCANHAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abocanharSm_Prog001.mp4,ABOCANHAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg47.jpg
ABOLIÇÃO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abolicaoSm_Prog001.mp4,ABOLIÇÃO.mp4,SUBSTANTIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg02.jpg
ABONAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abonarSm_Prog001.mp4,ABONAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg04.jpg
ABONO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abonoSm_Prog001.mp4,ABONO.mp4,SUBSTANTIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg04.jpg
ABORRECER,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/aborrecerSm_Prog001.mp4,ABORRECER.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg46a.jpg
ABORRECIDO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/aborrecidoSm_Prog001.mp4,ABORRECIDO.mp4,ADJETIVO,SENTIMENTOS,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg46a.jpg
ABORTAR1,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abortar1Sm_Prog001.mp4,ABORTAR1.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg02.jpg
ABORTAR2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abortar2Sm_Prog001.mp4,ABORTAR2.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg63.jpg
ABORTO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abortar1Sm_Prog001.mp4,ABORTO.mp4,SUBSTANTIVO,HIGIENE/SAÚDE,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg02.jpg
ABOTOAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abotoarSm_Prog001.mp4,ABOTOAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg05.jpg
ABRACADABRA,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abracadabraSm_Prog001.mp4,ABRACADABRA.mp4,SUBSTANTIVO,ESPORTE/DIVERSÃO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg57.jpg
ABRAÇAR,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abracarSm_Prog001.mp4,ABRAÇAR.mp4,VERBO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg02.jpg
ABRAÇO,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abracoSm_Prog001.mp4,ABRAÇO.mp4,SUBSTANTIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg02.jpg
ABRAÇO2,http://www.acessibilidadebrasil.org.br/libras_3/public/media/palavras/videos/abraco2Sm_Prog001.mp4,ABRAÇO2.mp4,SUBSTANTIVO,NENHUM,http://www.acessibilidadebrasil.org.br/libras_3/public/media/mao/cg62.jpg
