palavra,classe_gramatical,assunto,CM,letra
A,SUBSTANTIVO,NENHUM,cg01,A
ABACATE,SUBSTANTIVO,FRUTA,cg53a,A
ABACAXI,SUBSTANTIVO,FRUTA,cg47,A
ABAFAR,VERBO,NENHUM,cg07,A
ABAIXO,ADV.,NENHUM,cg62,A
ABAIXO-ASSINADO,LOC. SUBST.,NENHUM,cg20,A
ABAJUR,SUBSTANTIVO,CASA,cg51b,A
ABANAR,VERBO,NENHUM,cg04,A
ABANDONAR1,VERBO,NENHUM,cg33,A
ABANDONAR2,VERBO,NENHUM,cg64,A
ABARROTADO,ADJETIVO,NENHUM,cg07,A
ABASTADO,ADJETIVO,NENHUM,cg46b,A
ABATIDO,ADJETIVO,SENTIMENTOS,cg53a,A
ABATIMENTO,SUBSTANTIVO,NENHUM,cg14,A
ABDICAR,VERBO,NENHUM,cg35a,A
ABDOMEN,SUBSTANTIVO,CORPO,cg63,A
ABELHA,SUBSTANTIVO,ANIMAL/INSETO/PEIXE/AVE,cg20,A
ABENCOAR1,VERBO,NENHUM,cg42,A
ABENCOAR2,VERBO,NENHUM,cg64,A
ABERTO1,ADJETIVO,NENHUM,cg61,A
ABERTO2,ADJETIVO,NENHUM,cg53a,A
ABERTURA,SUBSTANTIVO,NENHUM,cg63,A
ABISMAR,ADJETIVO,NENHUM,cg63,A
ABOBORA1,SUBSTANTIVO,LEGUME/VERDURA,cg51a,A
ABOBORA2,SUBSTANTIVO,LEGUME/VERDURA,cg45,A
ABOBRINHA,SUBSTANTIVO,LEGUME/VERDURA,cg45,A
ABOCANHAR,VERBO,NENHUM,cg47,A
ABOLICAO,SUBSTANTIVO,NENHUM,cg02,A
ABONAR,VERBO,NENHUM,cg04,A
ABONO,SUBSTANTIVO,NENHUM,cg04,A
ABORRECER,VERBO,NENHUM,cg46a,A
ABORRECIDO,ADJETIVO,SENTIMENTOS,cg46a,A
ABORTAR1,VERBO,NENHUM,cg02,A
ABORTAR2,VERBO,NENHUM,cg63,A
ABORTO,SUBSTANTIVO,HIGIENE/SAÚDE,cg02,A
ABOTOAR,VERBO,NENHUM,cg05,A
ABRACADABRA,SUBSTANTIVO,ESPORTE/DIVERSÃO,cg57,A
ABRACAR,VERBO,NENHUM,cg02,A
ABRACO,SUBSTANTIVO,NENHUM,cg02,A
ABRACO2,SUBSTANTIVO,NENHUM,cg62,A
ABREVIAR,VERBO,NENHUM,cg12,A
ABRIDOR DE LATA1,SUBSTANTIVO,APARELHO/MÁQUINA,cg05,A
ABRIDOR DE LATA2,SUBSTANTIVO,APARELHO/MÁQUINA,cg10,A
ABRIGAR,VERBO,NENHUM,cg53a,A
ABRIGO,SUBSTANTIVO,NENHUM,cg53a,A
